Airports, Time Slot, Taxi Out Delay
Des Moines International Airport,Morning,14.144150184378143
Valdosta Regional Airport,Evening,14.142857142857142
Green Bay-Austin Straubel International Airport,Morning,14.135211267605634
Birmingham-Shuttlesworth International Airport,Afternoon,14.132677595628415
Rapid City Regional Airport,Evening,14.129496402877697
Hartsfield-Jackson Atlanta International Airport,Night,14.103218645948946
Niagara Falls International Airport,Afternoon,14.103092783505154
Lincoln Airport (Lincoln Municipal),Afternoon,14.095944609297725
Monterey Regional Airport (Monterey Peninsula Airport),Night,14.091324200913242
Gillette-Campbell County Airport,Night,14.08695652173913
Eppley Airfield,Morning,14.081778838979258
Rhinelander-Oneida County Airport,Evening,14.072202166064981
Luis Muñoz Marín International Airport,Afternoon,14.060623847056851
Stewart International Airport,Morning,14.056277056277056
South Bend International Airport (South Bend Regional),Evening,14.049504950495049
Cincinnati/Northern Kentucky International Airport,Afternoon,14.042592592592593
San Francisco International Airport,Night,14.041332510795804
Trenton Mercer Airport,Morning,14.02
Charlottesville-Albemarle Airport,Afternoon,14.010121457489879
Jacksonville International Airport,Afternoon,14.009286328460878
Ronald Reagan Washington National Airport,Night,14.00207039337474
Orlando International Airport,Morning,14.00186245430089
Reno/Tahoe International Airport,Night,13.993662864385298
Blue Grass Airport,Afternoon,13.977892030848329
MBS International Airport,Afternoon,13.973224679860303
Norfolk International Airport,Morning,13.972999509081983
Manchester-Boston Regional Airport,Afternoon,13.967837338262477
Erie International Airport,Afternoon,13.95774647887324
Toledo Express Airport,Morning,13.956632653061224
Jack Brooks Regional Airport (Southeast Texas Regional),Night,13.946308724832214
Eagle County Regional Airport,Evening,13.932692307692308
Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Afternoon,13.9302103250478
Baltimore-Washington International Airport,Afternoon,13.928904960853842
Birmingham-Shuttlesworth International Airport,Morning,13.926620843395876
Greenville-Spartanburg International Airport,Afternoon,13.92352016762703
Rogue Valley International Airport,Afternoon,13.91970802919708
Fort Wayne International Airport,Night,13.919540229885058
Gainesville Regional Airport,Morning,13.905714285714286
McCarran International Airport,Evening,13.903587006054293
Honolulu International Airport,Morning,13.891268668964385
Palm Springs International Airport,Afternoon,13.887024273299371
Washington Dulles International Airport,Night,13.882470119521912
Birmingham-Shuttlesworth International Airport,Night,13.876494023904382
Jackson-Evers International Airport,Morning,13.875916691111764
Trenton Mercer Airport,Evening,13.869186046511627
Baltimore-Washington International Airport,Evening,13.862923203963666
Rock Springs-Sweetwater County Airport,Night,13.86046511627907
Gunnison-Crested Butte Regional Airport,Afternoon,13.857938718662952
Jacksonville International Airport,Evening,13.85645933014354
Destin-Fort Walton Beach Airport/Eglin AFB,Night,13.854219948849105
James M. Cox Dayton International Airport,Afternoon,13.849807893817674
Aspen-Pitkin County Airport,Afternoon,13.84378843788438
Jamestown Regional Airport,Afternoon,13.84304932735426
Will Rogers World Airport,Morning,13.838043147979338
Northwest Arkansas Regional Airport,Evening,13.828254847645429
Ontario International Airport,Night,13.828178694158076
Missoula International Airport,Afternoon,13.815442561205273
Monterey Regional Airport (Monterey Peninsula Airport),Morning,13.804241435562806
Greater Rochester International Airport,Evening,13.802107728337237
San Luis Obispo County Regional Airport (McChesney Field),Morning,13.799043062200957
Gerald R. Ford International Airport,Afternoon,13.798823817691742
Plattsburgh International Airport,Night,13.789237668161435
Bradley International Airport,Afternoon,13.768298092562473
Ted Stevens Anchorage International Airport,Night,13.75357024244437
Barkley Regional Airport,Night,13.745762711864407
Range Regional Airport (Chisholm-Hibbing Airport),Evening,13.745222929936306
Southwest Oregon Regional Airport (North Bend Municipal),Afternoon,13.741444866920151
Jacksonville International Airport,Morning,13.73760756271967
Harrisburg International Airport,Afternoon,13.735510204081633
Abraham Lincoln Capital Airport,Morning,13.731003039513677
Redmond Municipal Airport (Roberts Field),Evening,13.725
Albert J. Ellis Airport,Afternoon,13.724137931034482
Nashville International Airport,Morning,13.717847836084001
Tulsa International Airport,Morning,13.705525606469003
Lincoln Airport (Lincoln Municipal),Morning,13.705012325390305
Glacier Park International Airport,Night,13.7
Arcata Airport,Morning,13.699029126213592
Louisville International Airport (Standiford Field),Afternoon,13.697513151602104
Memphis International Airport,Evening,13.696132596685082
